"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PatientInfo","PatientInfo","PatientInfo","","","",0,*,"","","","null {[]} {[]}
","Patient data model","When a patient is added, we register the person the enrollment info","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PatientInfo","PatientInfo.registrationDateTime","PatientInfo.registrationDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date-Time information was entered","Date and Time when the patient information was entered into DHIS2","","","","","","","","","",,,,,"",,,,"PatientInfo.registrationDateTime",1,1,"",""
"PatientInfo","PatientInfo.firstregisteredAt","PatientInfo.firstregisteredAt","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","The Org unit where the patient was first registered","The Org unit where the patient was first registered","","","","","","","","","",,,,,"",,,,"PatientInfo.firstregisteredAt",1,1,"",""
"PatientInfo","PatientInfo.firstName","PatientInfo.firstName","","","",0,1,"","","","string {[]} {[]}
","Given name of the patient","Given name of the patient","","","","","","","","","",,,,,"",,,,"PatientInfo.firstName",0,1,"",""
"PatientInfo","PatientInfo.lastName","PatientInfo.lastName","","","",0,1,"","","","string {[]} {[]}
","Family name","Family name","","","","","","","","","",,,,,"",,,,"PatientInfo.lastName",0,1,"",""
"PatientInfo","PatientInfo.dateOfBirth","PatientInfo.dateOfBirth","","","",1,1,"","","","string {[]} {[]}
","...","...","","","","","","","","","",,,,,"",,,,"PatientInfo.dateOfBirth",1,1,"",""
"PatientInfo","PatientInfo.dateOfBirthIsEstimated","PatientInfo.dateOfBirthIsEstimated","","","",0,1,"","","","boolean {[]} {[]}
","...","...","","","","","","","","","",,,,,"",,,,"PatientInfo.dateOfBirthIsEstimated",0,1,"",""
"PatientInfo","PatientInfo.sex","PatientInfo.sex","","","",1,1,"","","","code {[]} {[]}
","...","...","(valueset depends on the program)","","","","","","","","",,"example","","http://example.com/fhir/example/ValueSet/patient-sex-at-birth-vs","",,,,"PatientInfo.sex",1,1,"",""
"PatientInfo","PatientInfo.currentHomeAddress","PatientInfo.currentHomeAddress","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"PatientInfo.currentHomeAddress",1,1,"",""
"PatientInfo","PatientInfo.contactPhoneNumber","PatientInfo.contactPhoneNumber","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"PatientInfo.contactPhoneNumber",1,1,"",""
"PatientInfo","PatientInfo.countryOfBirth","PatientInfo.countryOfBirth","","","",0,1,"","","","string {[]} {[]}
","...","...","","","","","","","","","",,"example","","urn:iso:std:iso:3166","",,,,"PatientInfo.countryOfBirth",0,1,"",""
"PatientInfo","PatientInfo.nationaId","PatientInfo.nationaId","","","",0,1,"","","","string {[]} {[]}
","...","...","","","","","","","","","",,,,,"",,,,"PatientInfo.nationaId",0,1,"",""
"PatientInfo","PatientInfo.consent","PatientInfo.consent","","","",0,1,"","","","boolean {[]} {[]}
","...","...","","","","","","","","","",,,,,"",,,,"PatientInfo.consent",0,1,"",""
"ShortName","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Short name","Short name.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
",""
"ShortName","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ShortName","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ShortName","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://example.com/fhir/example/StructureDefinition/ShortName""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"ShortName","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","string {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"OrganisationUnitGroup","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Organisation Unit Group","Organisation Unit Group.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
",""
"OrganisationUnitGroup","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"OrganisationUnitGroup","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"OrganisationUnitGroup","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://example.com/fhir/example/StructureDefinition/OrganisationUnitGroup""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
